ID,y
1,83.64683
2,98.96797
3,79.16763
4,79.159935
5,112.03954
8,98.96329
10,112.43109
11,94.31638
12,121.68151
14,99.37819
15,121.17711
16,103.74315
17,94.806274
19,99.211914
20,109.612144
21,94.73314
22,121.17711
23,94.806274
26,94.258514
28,94.14271
29,94.72593
33,94.72593
35,94.09224
41,94.72593
42,93.94154
43,115.24373
45,103.458435
46,103.46961
51,94.00124
53,78.45782
55,111.868614
56,94.00124
57,103.44221
58,94.23284
59,103.45075
63,111.788506
64,94.09224
65,104.55657
69,94.01213
71,94.57478
72,103.63415
73,94.09224
76,103.45075
77,103.70262
78,114.77391
82,94.258514
83,104.55657
84,94.00124
85,103.54973
87,112.2657
88,94.72593
89,112.105675
91,93.92113
93,94.09224
94,104.17497
95,94.14526
96,112.04129
97,93.666664
98,111.868614
99,93.92113
101,103.46633
103,112.105675
104,94.12519
105,111.96662
110,94.26806
111,111.91394
113,112.093025
114,94.092545
115,112.24786
117,112.105675
120,93.74678
121,111.96662
122,93.666664
123,112.093025
126,112.2657
132,112.181725
135,104.39301
137,104.04007
138,94.09224
140,94.00124
142,111.91527
144,112.2657
148,93.632645
149,112.35846
155,93.86841
156,112.2657
157,93.666664
162,111.84114
163,94.50573
167,94.17266
172,115.24373
179,112.093025
180,93.94154
181,111.868614
182,94.26806
183,112.105675
185,112.105675
187,111.868614
188,94.258514
189,93.92113
191,94.07485
192,112.12238
193,94.00124
194,111.868614
195,93.994736
196,112.105675
198,94.09224
199,112.2657
201,104.46086
204,94.09224
205,103.807014
206,94.22538
210,94.00124
211,103.46633
216,112.2657
219,115.24373
220,94.24369
221,111.96662
226,111.868614
227,94.00018
228,112.2657
230,112.2657
231,93.666664
235,115.24373
236,94.00124
238,112.2657
242,103.54973
243,93.92113
244,78.85245
245,111.6006
247,111.868614
248,93.60882
249,93.8837
250,111.96662
251,94.00124
253,115.24373
254,93.7706
256,93.92113
257,93.632645
258,112.86072
259,93.92113
262,79.81507
266,93.822685
267,111.868614
272,103.54973
273,112.105675
275,93.86841
276,112.60884
279,94.62669
280,104.55657
283,93.712395
285,112.2657
288,112.105675
289,94.63435
290,104.46086
291,94.09224
292,111.868614
293,111.742165
296,93.843735
297,111.788506
298,114.77391
299,94.258514
304,94.07485
305,94.84134
306,94.00124
307,111.868614
311,106.91363
313,111.868614
314,94.06787
316,94.0999
324,94.266174
327,94.63435
329,94.07485
330,111.868614
337,104.710396
338,94.26806
339,104.11317
340,94.09224
343,93.8837
345,115.24373
346,94.04718
347,111.868614
349,112.752396
350,93.94224
352,112.093025
353,93.88927
354,78.77233
357,93.92113
358,112.093025
362,111.868614
364,116.64702
365,103.63415
366,94.09224
367,112.093025
368,94.258514
370,78.50239
373,94.06657
377,94.06787
378,111.742165
382,103.45075
384,112.2657
390,94.31154
392,111.868614
393,112.60197
395,94.43433
396,104.5682
399,78.57552
406,111.868614
408,111.868614
409,94.32381
410,78.40341
412,112.16831
413,93.52871
419,94.14526
420,112.093025
421,93.52871
430,103.7397
434,94.16752
436,94.09224
437,94.00124
438,93.73045
439,112.2657
440,94.00124
443,112.23298
446,94.09224
448,94.16752
452,94.16752
453,103.54973
457,104.46086
458,94.00124
459,112.86562
460,103.54973
462,103.71426
464,103.46961
465,115.24373
467,115.5746
471,112.40465
472,78.40341
473,93.994736
475,94.09224
480,94.258514
488,111.9365
490,111.868614
491,103.46633
492,78.50239
493,93.92113
497,93.87992
498,111.868614
499,94.09224
500,103.46961
501,94.00124
502,111.868614
506,78.45782
510,111.78754
511,94.04047
512,94.07485
516,93.80359
518,93.994736
519,111.868614
521,93.90922
522,111.742165
526,111.96662
529,94.391655
532,111.96662
533,94.00124
536,112.53428
537,102.61567
539,94.09224
540,103.46633
541,94.09224
543,93.92113
546,111.868614
547,94.00124
548,78.699196
551,93.77082
552,103.54973
556,103.46961
557,94.09224
558,112.093025
559,94.09224
560,103.807014
562,103.807014
566,94.09224
570,111.868614
571,94.00124
572,104.55657
573,94.258514
575,115.24373
576,111.868614
577,93.94224
579,93.666664
580,111.868614
581,112.181725
589,111.868614
591,103.44579
593,94.258514
594,103.36568
595,94.00124
598,93.77082
602,111.868614
604,112.2657
606,110.416046
608,94.09224
609,103.46633
610,94.00124
616,111.62566
617,94.01213
618,103.44579
620,103.71426
622,112.53428
623,93.52871
624,140.8538
626,111.96662
628,111.96662
629,94.04718
630,112.2657
637,94.26806
638,104.22785
643,94.621864
645,94.258514
646,115.58504
648,94.74106
652,94.09224
653,94.00124
654,111.868614
656,111.788506
657,94.2458
659,94.178406
660,103.71426
